request,PS_g,PS_r,PS_i,PS_z,PS_y,p,pe
4382532268894539136,15.7906,15.9175,16.091,16.2439,16.3993,18.44847785,0.056540507
4384015024746850432,20.1723,19.674601,19.639999,19.8633,20.219299,10.9915294,0.589818032
4384056565671592576,17.682,17.527,17.498,17.531,17.583,14.90855072,0.118027996
4384478434539647616,0,0,0,0,0,10.18891954,0.535928484
4385682502851250432,19.021299,18.907101,18.883101,18.9142,19.003099,10.10779426,0.305523163
4385909109622569088,17.6919,17.678101,17.7384,17.8349,17.907801,10.67525233,0.117093711
4385911549163997184,17.1308,17.267099,17.420099,17.5818,17.715,11.01890819,0.094734818
4385937696925019264,14.7111,14.9807,15.2473,15.4762,15.6357,21.27155024,0.044619124
4386278128914548352,19.927799,19.1329,18.763,18.627501,18.5931,16.85687119,0.307179307
4386963335112335104,18.5214,18.246901,18.155199,18.1686,18.166599,14.60382758,0.197383911
4387094619380065280,0,0,0,0,0,15.65908906,0.458422694
4387094623673782656,0,0,0,0,0,16.23156688,0.401326987
4387171623850187648,14.30700016,14.52840042,14.75749969,14.97500038,15.11260033,26.06681821,0.044678207
4387674856576862976,18.6709,18.2101,18.259899,18.4862,18.399799,12.31753533,0.209512693
4388138816124225792,15.276,15.119,15.119,15.2,15.251,55.9726523,0.033550474
4388808448767668864,18.0889,18.085699,18.1675,18.2826,18.3929,10.05269655,0.139578329
4388927887517644544,18.6751,18.4576,18.4168,18.4526,18.4923,13.66021831,0.219897075
4389635522031068288,17.9072,17.731501,17.746099,17.8013,17.839701,14.85303167,0.179492628
4390134326651497728,16.939,16.92,16.979,17.067,17.13,15.04785204,0.086989283
4390295473822747008,18.124701,17.8985,17.841999,17.8493,17.853399,13.53713183,0.160691842
4390444728230185472,18.870501,18.210501,17.9422,17.848101,17.828699,21.9584419,0.184460809
439102338058228096,0,0,0,0,0,10.26861151,0.73243843
4391115602120939136,17.0296,17.042801,17.1231,17.241301,17.324499,20.24659707,0.089299445
4392912650795934848,18.822001,18.358801,18.1455,18.104601,18.1646,17.95956919,0.180491738
439319598985604480,14.789,15.0797,15.362,15.5974,15.7485,17.47959341,0.044060767
4394367510839007872,17.9694,17.9825,18.0653,18.1651,18.2274,12.06888487,0.203223553
4394490832237094144,18.3843,17.893499,17.6667,17.572701,17.5042,21.19730891,0.142720259
439494077735062144,17.428,17.096,16.968,16.961,16.957,26.56603968,0.094217524
439539119053246080,0,0,0,0,0,10.32409669,0.476414277
4395601098464590464,18.0681,17.9272,17.898701,17.9461,17.993401,11.37378624,0.167074471
4395745061468726400,19.7932,19.2784,19.056601,18.952499,18.932899,10.87471212,0.572982607
4395861373483932032,16.955601,17.013399,17.1311,17.2652,17.3801,11.50671884,0.121469171
4395903322423821824,18.9739,18.4737,18.257799,18.2181,18.2017,17.79235394,0.28316883
4396596774962885888,18.047199,17.893999,17.8752,17.918699,17.9897,12.04792466,0.167158503
4397271016110593280,17.298,17.083099,17.041599,17.0723,17.1173,23.01377422,0.107412965
4397428314991464064,16.092899,16.294399,16.522301,16.7269,16.880199,11.45071279,0.071044422
4397581761283186816,0,0,0,0,0,10.2759484,0.811867885
4397632171319655936,18.9039,18.449499,18.2673,18.2157,18.191999,17.37674276,0.206454925
4397682950713101568,18.4021,18.186501,18.158501,18.235001,18.239,15.53739088,0.2123329
4398367774657852928,19.405001,19.1145,19.041901,19.0273,19.032,10.05165005,0.38564774
439872275371188608,18.8067,18.5546,18.4303,18.4566,18.4391,11.41787241,0.241693828
