Gaia DR2 2445187691214892416,18.9558,0.0103,18.6692,0.0073,18.5962,0.003,18.6086,0.0148,18.5893,0.0211,True,gSDSS,
Gaia DR2 2876822146296910976,20.5582,0.0171,19.817,0.0124,19.509,0.0064,19.3988,0.0137,19.3504,0.0245,True,gSDSS,
Gaia DR2 2337117277436602112,18.5527,0.0067,18.14,0.004,17.9577,0.0049,17.914,0.0081,17.8817,0.0171,True,approx_rSDSS,
Gaia DR2 2853763295814123264,19.4424,0.012,18.7115,0.0081,18.4167,0.007,18.2993,0.0092,18.249,0.0127,True,gSDSS,
Gaia DR2 2877532503824528640,16.0458,0.0023,16.1811,0.0071,16.3741,0.0031,16.5732,0.0033,16.6977,0.0079,True,approx_rSDSS,
Gaia DR2 2861792754354276352,16.8072,0.0041,16.7432,0.0071,16.8471,0.0028,16.944,0.0047,17.0089,0.0113,True,gSDSS,
Gaia DR2 2742201172407646208,20.0238,0.0258,19.3946,0.0092,19.1593,0.0055,19.0674,0.0155,19.0642,0.0329,True,gSDSS,
Gaia DR2 393722263365226880,19.5009,0.0154,18.9265,0.0055,18.7019,0.0048,18.6378,0.0096,18.6399,0.0188,True,approx_rSDSS,
Gaia DR2 2364836107306975872,16.4752,0.0039,16.5566,0.0048,16.7022,0.002,16.8535,0.0061,16.9661,0.0113,True,gSDSS,
Gaia DR2 2416621004735401472,20.5468,0.0266,19.9758,0.0155,19.7462,0.0084,19.6456,0.0185,19.6281,0.0451,True,approx_rSDSS,
Gaia DR2 2753010024543499136,17.2951,0.0042,17.3604,0.0046,17.5053,0.0032,17.6673,0.004,17.763,0.0151,True,gSDSS,
Gaia DR2 2877318060401894144,17.4911,0.0056,17.5976,0.0078,17.7608,0.0055,17.9655,0.0122,18.0485,0.0122,True,approx_rSDSS,
Gaia DR2 432063195897670400,19.3966,0.0167,18.8954,0.0119,18.7042,0.0063,18.6515,0.0141,18.6106,0.0269,True,approx_rSDSS,
