request,su,sg,sr,si,sz,PS_g,PS_r,PS_i,PS_z,PS_y
Gaia DR2 104648944047154432,13.331,14.274,13.689,13.889,14.009,13.11970043,13.40610027,13.86909962,13.93060017,14.09290028
Gaia DR2 104663302122618496,22.166,20.575,19.748,19.438,19.277,0,0,0,0,0
Gaia DR2 1047132925349510784,17.34141,17.10055,17.13281,17.22867,17.35387,17.11289978,17.14159966,17.2303009,17.35969925,17.47030067
Gaia DR2 1047228922162323968,18.448,17.9,17.708,17.672,17.701,17.8985,17.7138,17.678101,17.740601,17.785801
Gaia DR2 1047653608528684416,20.461,19.412,18.95,18.89,18.709,19.339199,18.944201,18.7924,18.758699,18.751499
Gaia DR2 1047912479093335040,20.497,18.79,18.036,17.818,17.616,18.5783,18.010201,17.7626,17.686701,17.6635
Gaia DR2 1048769578471443072,19.792,19.023,18.655,18.504,18.422,18.9884,18.6481,18.5191,18.522499,18.5259
Gaia DR2 1049324629980448256,18.35831,17.86264,17.73073,17.72626,17.78866,17.86319923,17.73940086,17.73189926,17.80240059,17.82439995
Gaia DR2 1050272718241775488,19.301,18.622,18.383,18.316,18.31,18.6255,18.3769,18.352501,18.3466,18.379601
Gaia DR2 1050402662475992320,21.816,19.424,18.427,18.04,17.846,19.29330063,18.42289925,18.03739929,17.91869926,17.86429977
Gaia DR2 1050570750316642304,22.264,20.369,19.538,19.264,19.155,0,0,0,0,0
Gaia DR2 1050825733935333376,18.80272,18.27865,18.107,18.06792,18.13548,18.24790001,18.12070084,18.09609985,18.13150024,18.12649918
Gaia DR2 1050892563625773184,17.77003,17.38659,17.41495,17.4927,17.68754,17.40500069,17.43350029,17.54229927,17.67569923,17.73679924
Gaia DR2 1051676171819127040,20.015,19.213,18.826,18.686,18.678,19.1619,18.8332,18.7194,18.707399,18.6485
Gaia DR2 1051954485699665280,19.3716,18.8921,18.70967,18.6743,18.66422,18.86720085,18.70070076,18.64139938,18.66799927,18.6595993
Gaia DR2 105240786245136256,21.932,19.482,18.345,17.895,17.681,19.3281,18.315701,17.9098,17.726999,17.625099
Gaia DR2 1052520154368111872,15.399,14.812,14.632,14.553,14.58,14.828,14.619,14.567,14.625,14.65
