designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,su,sg,sr,si,sz
Gaia DR2 1219876887953177600,1219876887953177600,237.2941459,25.54726746,13.70413181,0.053043956,-0.688656954,-6.35439454,15.640464,15.572421,15.717257,-0.14483547,15.809,15.473,15.747,15.999,16.268
Gaia DR2 2042089793425728640,2042089793425728640,284.4856295,31.79556002,11.21056509,0.060628039,-0.700070815,7.476398234,16.55436,16.42462,16.722359,-0.29773903,0,0,0,0,0
Gaia DR2 6252571161399105536,6252571161399105536,229.1971641,-21.65883984,14.511534,0.120831613,-0.709233568,-43.34758293,17.38269,17.511103,17.07002,0.441082,0,0,0,0,0
Gaia DR2 5110244585196867712,5110244585196867712,60.03229784,-14.35402373,10.85249407,0.435881963,-0.74794381,-162.3663484,19.589886,20.021683,19.017067,1.0046158,0,0,0,0,0
Gaia DR2 1688574226443221760,1688574226443221760,198.8206515,73.31367436,10.94064835,0.115251873,-0.773971279,28.33356084,17.784279,17.943869,17.425367,0.5185013,0,0,0,0,0
Gaia DR2 1856027854494006784,1856027854494006784,309.5531206,27.04589795,10.72645329,0.320450615,-0.792424288,-103.8290801,19.386616,19.798227,18.766941,1.0312862,21.032,19.891,19.408,19.16,19.16
Gaia DR2 709769115467848448,709769115467848448,129.3966633,31.9106303,11.14104405,0.325957005,-0.799921534,9.83811228,18.796549,18.88978,18.433203,0.4565773,19.67,19.01,18.76,18.71,18.82
Gaia DR2 1022470261063639808,1022470261063639808,139.7292941,52.41462683,13.75660476,0.061291479,-0.813651863,-29.75168103,15.563508,15.48423,15.66782,-0.18358994,15.665,15.388,15.719,15.984,16.241
Gaia DR2 1862981376490203776,1862981376490203776,311.9376778,32.65613493,16.66915149,0.046140717,-0.856379225,-31.74643843,15.281817,15.181707,15.415408,-0.23370075,0,0,0,0,0
Gaia DR2 4004395720290994048,4004395720290994048,178.6440378,24.3771726,37.59082489,0.058281906,-0.87893281,-122.7265315,15.567941,15.642473,15.371187,0.271286,15.94,15.6,15.61,15.66,15.8
Gaia DR2 34881117333814144,34881117333814144,46.50818722,17.85859582,14.09338681,0.139557056,-0.88375114,-75.79270994,17.469528,17.7281,16.99638,0.73172,0,0,0,0,0
Gaia DR2 168604374341638912,168604374341638912,58.40131668,30.77802129,12.56808794,0.127776593,-0.966272679,-25.94433809,17.064667,17.102968,16.882717,0.22025108,0,0,0,0,0
Gaia DR2 4306960356519377408,4306960356519377408,284.6948995,7.358049274,11.19544103,0.339861431,-0.966284615,-22.11095003,19.021967,19.404797,18.492456,0.91234016,0,0,0,0,0
Gaia DR2 4568037330951578368,4568037330951578368,258.112541,22.36810558,14.62623778,0.194997077,-1.016072264,-96.78426962,18.70768,19.129078,18.112562,1.0165157,20.675,19.27,18.685,18.437,18.379
Gaia DR2 1423486611551423616,1423486611551423616,244.595847,49.9144817,11.28559788,0.325946366,-1.039597809,-160.5141573,19.61333,20.03825,18.9115,1.126749,21.403,20.154,19.529,19.328,19.296
Gaia DR2 3266576684513815168,3266576684513815168,45.89618292,0.039079117,10.40608525,0.182436321,-1.059955995,-66.7806311,17.793314,17.859362,17.567612,0.29174995,18.29653,17.85362,17.81187,17.84096,17.99485
Gaia DR2 1723009728034516608,1723009728034516608,236.0741433,82.83384803,10.22203839,0.252683866,-1.074230585,-41.58718026,19.107498,19.275023,18.722857,0.552166,0,0,0,0,0
Gaia DR2 1075215414395152640,1075215414395152640,179.9440399,73.59048212,10.89375526,0.06339006,-1.095746858,35.55284265,15.983036,15.888111,16.120932,-0.23282051,0,0,0,0,0
Gaia DR2 177231103915588992,177231103915588992,63.65821237,36.31599964,15.03474875,0.199506746,-1.118553024,-158.4946712,18.320156,18.653822,17.805191,0.8486309,0,0,0,0,0
Gaia DR2 2069588300054515200,2069588300054515200,310.2784741,43.34612079,16.61627073,0.119970098,-1.125048829,-39.90420466,17.43091,17.629602,17.098448,0.53115463,18.164,17.674,17.441,17.407,17.427
Gaia DR2 869333885023140992,869333885023140992,109.7172819,23.21033956,10.4696134,0.445145726,-1.146320198,-14.53867688,19.226782,19.389145,18.837687,0.55145836,0,0,0,0,0
Gaia DR2 3336501573889129216,3336501573889129216,86.26967254,10.02222219,13.87614861,0.19890375,-1.155267809,12.4611279,17.970749,18.111012,17.614576,0.49643517,0,0,0,0,0
Gaia DR2 4357758274758945280,4357758274758945280,247.1343081,-2.814310148,12.08844596,0.446722554,-1.166788424,11.44516281,19.49294,20.002186,18.73345,1.2687359,0,0,0,0,0
Gaia DR2 2842282088022707968,2842282088022707968,345.4474297,23.86051047,10.05281204,0.516733796,-1.171685947,53.73982108,19.629557,20.005705,19.101208,0.90449715,21.098,20.001,19.545,19.365,19.245
Gaia DR2 4361621688038664064,4361621688038664064,258.5397954,-5.572599359,38.24447313,0.04512951,-1.176814331,-89.93125419,14.649257,14.686843,14.515361,0.17148209,0,0,0,0,0
Gaia DR2 812885610888282880,812885610888282880,140.5279325,41.41907736,10.4030394,0.345903499,-1.185268251,-33.50854771,18.600908,18.833233,18.14921,0.6840229,19.632,18.901,18.588,18.403,18.446
Gaia DR2 44478578238260864,44478578238260864,56.12928554,17.09560192,10.63774256,0.157871001,-1.213156672,29.24122175,17.607473,17.690704,17.363708,0.32699585,18.096,17.672,17.653,17.711,17.83
Gaia DR2 1166063073741131520,1166063073741131520,234.3210225,10.69411098,11.3159485,0.672146818,-1.230515218,78.55789496,19.256025,19.643105,18.669323,0.9737816,20.903,19.671,19.212,19.053,18.955
Gaia DR2 4282373867773042944,4282373867773042944,284.1364555,5.04958288,10.92247606,0.225237832,-1.249116556,-26.13327543,18.165163,18.233467,18.01113,0.22233772,0,0,0,0,0
Gaia DR2 4217970386494639360,4217970386494639360,306.1403911,-5.780330981,16.00638473,0.257366168,-1.26237025,51.08933096,18.318262,18.533796,17.900202,0.6335945,0,0,0,0,0
Gaia DR2 6249697450322286720,6249697450322286720,242.7327132,-16.79224467,10.04683439,0.302834388,-1.265605424,-108.1965087,18.963486,19.425955,18.30089,1.1250648,20.888,19.609,18.903,18.609,18.511
Gaia DR2 5059337819604703104,5059337819604703104,47.84731625,-29.21362225,11.49461277,0.176316237,-1.272361532,-115.3362175,18.397902,18.449347,18.155783,0.29356384,0,0,0,0,0
Gaia DR2 3547000253230686080,3547000253230686080,173.6657575,-17.76169589,12.10956454,0.215843999,-1.273823206,57.05765652,18.2231,18.396004,17.903969,0.4920349,0,0,0,0,0
Gaia DR2 3024710549043578624,3024710549043578624,90.19816009,-2.633987359,13.87775392,0.267272205,-1.285202383,-45.3219721,18.457594,18.705282,17.95647,0.7488117,0,0,0,0,0
Gaia DR2 1653044367185115264,1653044367185115264,247.1608278,70.8873927,30.40147718,0.098216454,-1.295591693,-457.1336868,17.538828,18.054104,16.890848,1.1632557,0,0,0,0,0
Gaia DR2 135554253103930880,135554253103930880,44.73337661,31.79557096,12.79575454,0.34674007,-1.314665528,-104.3647677,18.896387,19.203531,18.428047,0.7754841,0,0,0,0,0
Gaia DR2 530147810713379584,530147810713379584,6.937051692,69.87395983,10.93570544,0.19421388,-1.319221006,20.3546595,18.794123,19.028378,18.349022,0.6793556,0,0,0,0,0
Gaia DR2 493391411875727616,493391411875727616,58.66494498,68.0331288,10.8780534,0.085217067,-1.358015489,-127.2313222,17.385332,17.382784,17.280428,0.10235596,0,0,0,0,0
Gaia DR2 4211947536675142656,4211947536675142656,290.5634644,-4.044163444,13.39286999,0.463718825,-1.36014671,-23.86358114,19.713522,20.058968,19.271513,0.7874546,0,0,0,0,0
Gaia DR2 3266873724451739776,3266873724451739776,47.35364262,0.423315987,23.27338775,0.172017274,-1.367284431,-105.9104891,17.740297,18.109858,17.199266,0.9105911,19.23596,18.1995,17.70678,17.48446,17.43299
