id,Column2,Column1,g,ge,r,re,i,ie,z,ze,y,ye
2826770319713589888,11.26660784,0.09320377,16.4165,0.0041,16.5553,0.0035,16.7525,0.0032,16.9385,0.0042,17.0812,0.0108
2828248471361734528,12.66484215,0.3346048,19.5309,0.0154,19.1587,0.0081,18.9704,0.0072,18.9303,0.0166,18.9573,0.035
2828968376599542144,12.28864206,0.405808908,19.4471,0.0143,19.024,0.0112,18.8768,0.0103,18.8209,0.011,18.78,0.0529
2830734604590471424,20.246491,0.125160606,17.8284,0.0057,17.6393,0.0046,17.617,0.004,17.6647,0.0042,17.686,0.0069
283096760659311744,15.68196941,0.073592285,15.6901,0.0029,15.8613,0.0037,16.0766,0.0023,16.2817,0.0061,16.4058,0.0063
2831562468126593024,18.7353843,0.119856386,17.3678,0.0046,17.3081,0.0036,17.3373,0.0045,17.412,0.0048,17.4498,0.0108
2831697712353381376,18.06706141,0.134068752,17.8912,0.0034,17.6178,0.0036,17.5465,0.0022,17.5355,0.0025,17.5344,0.0112
2831963931606829312,15.05031524,0.088842005,16.8807,0.0071,16.8675,0.0018,16.9352,0.004,17.0422,0.004,17.1262,0.0074
2832497985019340416,10.16657441,0.147703291,17.9366,0.0042,17.9518,0.0057,18.0588,0.0069,18.1797,0.0107,18.2506,0.015
2833496852677924480,19.02885138,0.414131224,19.7597,0.0161,18.8958,0.0086,18.5256,0.0079,18.3942,0.0127,18.3097,0.0168
2835088155240692096,15.18655172,0.253442245,19.3147,0.0153,18.7539,0.0062,18.5332,0.004,18.4394,0.0071,18.4073,0.0152
2835299914307635328,15.87773008,0.252326057,18.9973,0.0117,18.5082,0.005,18.3066,0.0044,18.2495,0.0033,18.249,0.0136
2835805586577740288,16.43760554,0.099545556,17.485,0.006,17.4088,0.004,17.45,0.005,17.5473,0.004,17.6088,0.0134
2836609093355562496,56.11676084,0.069532598,0,0,0,0,0,0,0,0,0,0
2837909055400871424,12.58817779,0.232696493,19.0494,0.009,18.7436,0.0073,18.6712,0.0027,18.6561,0.0076,18.6387,0.0274
2838537563735201664,12.30083415,0.23046257,19.0156,0.0125,18.673,0.0052,18.5444,0.0062,18.5306,0.0181,18.5605,0.0226
283881120469767936,10.5830586,0.272896135,19.1169,0.0029,18.8793,0.0069,18.7886,0.0069,18.7909,0.0086,18.8041,0.0309
2838876114534014848,10.879497,0.372044737,20.0647,0.0178,19.483,0.011,19.269,0.0158,19.1766,0.0123,19.104,0.0394
2839231634746334848,10.38418179,0.458481398,19.9169,0.005,19.3947,0.0123,19.204,0.0042,19.1306,0.0153,19.0464,0.0195
2839231634746334976,10.25993571,0.348883987,19.2868,0.0145,18.9924,0.006,18.9008,0.0084,18.8808,0.0145,18.8583,0.0315
2839397832801325952,14.54002564,0.08262653,16.9342,0.0019,16.7682,0.0034,16.7507,0.0021,16.7899,0.0026,16.8072,0.0076
2841283151645302272,10.10296882,0.096892829,17.152,0.0099,17.2012,0.0026,17.3149,0.0129,17.3848,0.0175,17.3095,0.0217
2841348430852439680,21.54333751,0.09572384,17.2276,0.006,16.8615,0.0085,16.71,0.0038,16.6947,0.0073,16.678,0.0055
2841679456867414400,10.18588729,0.214646406,18.3242,0.0023,18.3139,0.0048,18.3927,0.0045,18.5146,0.0082,18.5559,0.0181
2841680934336158976,21.69565475,0.140607209,17.8179,0.0074,17.5954,0.0073,17.5354,0.0044,17.5584,0.0074,17.6016,0.0081
2841680934336159104,21.75607603,0.235058637,18.9164,0.006,18.2367,0.0122,18.0002,0.0049,17.9056,0.0067,17.8614,0.0113
2842112183412398336,19.32195331,0.066138215,16.0386,0.0017,16.1405,0.0016,16.2989,0.0042,16.4519,0.0046,16.5799,0.0046
2842282088022707968,10.05281204,0.516733796,19.9932,0.0123,19.5662,0.0122,19.4154,0.015,19.3391,0.0169,19.3532,0.0362
2842312874347797632,11.47927176,0.327087362,19.7705,0.0236,19.1824,0.0107,19.07,0.0094,19.0944,0.0053,19.0843,0.0195
2842462137347560320,25.20857406,0.150931845,18.4867,0.0063,17.8034,0.0034,17.5414,0.0058,17.4422,0.0096,17.3932,0.0073
2842650153836732928,19.72284504,0.049249023,15.3037,0.0117,15.4745,0.0059,15.64,0.0056,15.8445,0.0029,15.965,0.0107
2842710382160936576,12.16937974,0.130767438,17.728,0.0048,17.7229,0.0093,17.809,0.0039,17.9083,0.0053,18.0141,0.0084
2843077206728009472,13.79253668,0.166011417,18.1406,0.0056,17.985,0.0069,17.9651,0.0056,18.0173,0.0058,18.0807,0.0172
2843086827454803712,12.72685746,0.415295073,19.6851,0.013,19.1188,0.0083,18.855,0.0046,18.812,0.014,18.7247,0.0166
2843695170919181696,11.89519322,0.606593961,20.6716,0.0239,19.871,0.0096,19.5282,0.01,19.377,0.0135,19.3094,0.053
2844420294540718336,11.93160855,0.278500038,19.1867,0.0082,18.8529,0.0125,18.7408,0.0036,18.718,0.015,18.7381,0.0264
2844933221011789952,12.5978087,0.084618429,16.2096,0.0035,16.2897,0.0064,16.4455,0.0638,16.7531,0.0083,16.8558,0.0161
2845059871007824768,12.03369756,0.095879518,17.2851,0.0062,17.2837,0.0018,17.3678,0.0038,17.4704,0.0099,17.5666,0.0122
2845218578639288576,23.36496683,0.115854229,17.4936,0.0107,17.353,0.0159,17.2833,0.0075,17.3383,0.0066,17.3838,0.0127
2845358143600048768,11.03389938,0.413875381,19.9946,0.0202,19.5325,0.0062,19.3157,0.01,19.2586,0.0139,19.1344,0.0417
2845408514976562688,10.41810647,0.266228522,19.3242,0.0082,18.9701,0.009,18.7946,0.0064,18.7834,0.0141,18.7832,0.0262
2845447204042284032,11.76499425,0.169495281,18.3742,0.0041,18.2492,0.0143,18.24,0.008,18.3106,0.0105,18.4022,0.0155
2845665594538512768,13.23548107,0.478253649,20.5483,0.0255,19.5787,0.0137,19.1442,0.0105,18.9908,0.0107,18.848,0.0194
2846462744764360064,21.48777782,0.230691915,18.7074,0.0058,18.2188,0.0063,18.0347,0.0062,17.9699,0.005,17.9464,0.0119
2848334010475644288,14.74222588,0.091246588,16.6708,0.0026,16.7548,0.0034,16.927,0.0033,17.0933,0.0027,17.1947,0.0056
2850426479892014976,12.89808002,0.495452314,20.0888,0.0124,19.3857,0.0093,19.1353,0.0096,18.9691,0.0221,18.9119,0.0213
2850852678081870208,12.04763252,0.267097264,19.0174,0.0083,18.7617,0.0065,18.7001,0.0077,18.6899,0.0093,18.7827,0.0153
2853360530961651584,13.1510068,0.38584495,20.0636,0.0143,19.3697,0.0094,19.0861,0.01,19.0093,0.0153,19.014,0.0511
2853372247632375040,13.00103997,0.11043525,17.4136,0.0044,17.3533,0.0047,17.4035,0.0036,17.4652,0.0026,17.5465,0.0186
